Trial-ID,Status,Iteration,activation,activation_E,hidden_layer,learning_rate,num_units,Objective,loss
1,INTERMEDIATE,0,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,940.5643310546875,[940.56433   36.15045    2.18679    2.004473 900.2223  ]
1,INTERMEDIATE,1,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,919.1661987304688,[919.1662     36.14933     2.1871452   2.0051506 878.82367  ]
1,INTERMEDIATE,2,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,895.44970703125,[895.4497     36.148727    2.1878285   2.006336  855.1064   ]
1,INTERMEDIATE,3,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,868.9028930664062,[868.9029     36.14919     2.1889298   2.0080895 828.5569   ]
1,INTERMEDIATE,4,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,839.4323120117188,[839.4323     36.149464    2.190527    2.0105085 799.0824   ]
1,INTERMEDIATE,5,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,807.2640991210938,[807.2641     36.14942     2.1926644   2.0137215 766.9092   ]
1,INTERMEDIATE,6,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,772.9279174804688,[772.9279     36.149628    2.1953907   2.017997  732.56537  ]
1,INTERMEDIATE,7,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,737.1299438476562,[737.12994    36.149776    2.1987705   2.0237615 696.75793  ]
1,INTERMEDIATE,8,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,700.650634765625,[700.65063    36.149944    2.2028215   2.0313978 660.2668   ]
1,INTERMEDIATE,9,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,664.2492065429688,[664.2492     36.150105    2.2075665   2.041224  623.85095  ]
1,COMPLETED,9,elu,<function Exponential_Linear at 0x2b9f6e261620>,2,1.3899751110269005e-07,1287,664.2492065429688,[664.2492     36.150105    2.2075665   2.041224  623.85095  ]
2,INTERMEDIATE,0,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,272.5289611816406,[272.52896    36.152306    2.2674344   2.175559  231.93341  ]
2,INTERMEDIATE,1,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,245.1303253173828,[245.13033    36.15238     2.2770436   2.2023911 204.4984   ]
2,INTERMEDIATE,2,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,220.96026611328125,[220.96027    36.152546    2.287359    2.2316875 180.28847  ]
2,INTERMEDIATE,3,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,199.88990783691406,[199.88991    36.152447    2.2983537   2.2633934 159.17537  ]
2,INTERMEDIATE,4,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,181.7522735595703,[181.75227    36.152508    2.3098578   2.297178  140.99228  ]
2,INTERMEDIATE,5,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,167.77975463867188,[167.77975   36.152462   2.320117   2.32733  126.97956 ]
2,INTERMEDIATE,6,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,157.70526123046875,[157.70526    36.152725    2.3275785   2.348915  116.87594  ]
2,INTERMEDIATE,7,relu,<function Exponential_Linear at 0x2b9f6e261620>,4,0.0008853735345320691,1687,150.10357666015625,[150.10358    36.15291     2.333096    2.3644958 109.25299  ]
